Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
ZAF,1991-01-01,1991-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,1072.000000,A
ZAF,1992-01-01,1992-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,1326.000000,A
ZAF,1993-01-01,1993-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,640.000000,A
ZAF,1994-01-01,1994-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,1237.000000,A
ZAF,1995-01-01,1995-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,1169.000000,A
ZAF,1996-01-01,1996-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,1366.000000,A
ZAF,1997-01-01,1997-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,1280.000000,A
ZAF,1998-01-01,1998-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,1505.000000,A
ZAF,1999-01-01,1999-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,1170.000000,A
ZAF,2000-01-01,2000-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,1336.000000,A
ZAF,2001-01-01,2001-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,1486.000000,A
ZAF,2002-01-01,2002-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,2236.000000,A
ZAF,2003-01-01,2003-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,1978.000000,A
